买入日,代码,名称,评级,买入价,卖出日,卖出价,收益%,持仓天数
2025-08-29,603987,康德莱,B,8.95,2025-09-01,9.42,5.1%,2
2025-09-02,603004,鼎龙科技,B,24.25,2025-09-05,26.12,7.6%,4
2025-09-08,600729,重庆百货,C,28.86,2025-09-15,28.17,-2.4%,6
2025-09-18,002626,金达威,B,19.22,2025-09-25,18.50,-3.8%,6
2025-09-29,002695,煌上煌,C,12.90,2025-10-14,12.23,-5.3%,6
2025-10-15,002563,森马服饰,D,5.44,2025-10-22,5.25,-3.5%,6
2025-10-23,002546,新联电子,B,6.66,2025-10-24,7.23,8.5%,2
2025-10-27,688636,智明达,B,36.58,2025-11-03,36.86,0.7%,5
2025-11-03,600666,奥瑞德,A,3.60,2025-11-10,3.80,5.3%,6
2025-11-11,300756,金马游乐,C,39.73,2025-11-18,39.88,0.3%,6
2025-11-19,002315,焦点科技,D,34.23,2025-11-24,36.58,6.8%,4
2025-11-25,600469,风神股份,D,6.86,2025-12-02,6.90,0.5%,6
2025-12-03,000517,荣安地产,B,2.08,2025-12-10,1.97,-5.5%,6
2025-12-15,002572,索菲亚,D,13.11,2025-12-22,12.66,-3.5%,6
2025-12-23,603416,信捷电气,B,53.41,2025-12-30,55.85,4.5%,6
2026-01-22,603118,共进股份,C,11.74,2026-01-29,11.68,-0.6%,6
2026-02-03,603966,法兰泰克,B,9.99,2026-02-10,9.64,-3.6%,6
2026-02-11,603585,苏利股份,B,20.33,2026-02-24,21.80,7.2%,4
2026-02-25,600866,星湖科技,C,7.32,2026-03-02,7.78,6.2%,4
2026-03-11,300969,恒帅股份,A,100.01,2026-03-18,99.32,-0.8%,6
2026-03-24,688272,富吉瑞,D,35.52,2026-03-26,40.35,13.5%,3
2026-03-27,001367,海森药业,A,23.85,2026-03-30,25.85,8.3%,2
2026-03-31,600502,安徽建工,B,5.26,2026-04-01,5.85,11.2%,1
2026-04-02,601579,会稽山,A,18.11,2026-04-03,18.03,-0.5%,1
2026-04-07,300761,立华股份,D,19.16,2026-04-08,20.38,6.3%,2
2026-04-09,605016,百龙创园,A,24.81,2026-04-10,27.72,11.7%,2
2026-04-13,600983,惠而浦,A,10.64,2026-04-20,9.97,-6.3%,6
2026-04-21,603699,纽威股份,B,58.03,2026-04-24,58.44,0.6%,3
2026-04-24,002793,罗欣药业,D,5.60,2026-04-30,5.37,-4.1%,4
2026-04-30,002111,威海广泰,A,10.71,2026-05-06,11.43,6.6%,2
2026-05-07,601086,国芳集团,A,8.70,2026-05-13,9.14,4.9%,5
2026-05-14,601908,京运通,A,4.20,2026-05-21,3.76,-10.7%,6
2026-05-22,688410,山外山,B,16.51,2026-05-25,18.12,9.7%,2
2026-05-27,603968,醋化股份,C,12.41,2026-06-03,11.26,-9.3%,6
2026-06-08,002832,比音勒芬,C,19.44,2026-06-10,20.89,7.4%,3
2026-06-12,002534,西子洁能,D,19.37,2026-06-15,20.49,5.7%,2
